2	True	3	9.246422322222223	1	46 x 68	91
3	False	4	9.337839793261868	2	61 x 44	654
4	False	3	9.597682607142858	2	77 x 72	85
5	True	4	9.623514066666667	1	70 x 76	106
6	False	6	9.302471730392156	2	52 x 48	205
7	True	3	9.462819018518518	1	67 x 66	55
9	False	4	9.366070860301507	2	65 x 78	996
10	True	3	9.26223964811784	1	65 x 41	612
11	False	4	9.43293211111111	2	66 x 66	235
12	True	5	9.478880582417583	1	54 x 54	92
13	False	5	9.5484281	3	66 x 44	101
14	True	3	9.02374392857143	1	43 x 55	15
15	True	2	9.3630726	1	62 x 41	11
16	True	3	8.329069777777777	1	50 x 68	10
17	True	3	8.54973075	1	51 x 76	17
18	True	2	10.228113083333334	1	69 x 53	13
19	False	5	8.958801009523809	2	48 x 41	106
20	True	4	8.4961836	1	45 x 77	26
